trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.01, 'e': 0.920000800000004}",20,0,-125.89693465189096,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.919000810000004}",25,0,-128.57940305104452,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.918000820000004}",35,0,-311.4354507617863,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 5}",0
83,False,"{'a': 0.01, 'e': 0.9170008300000041}",25,0,-49.22210838502043,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.9160008400000041}",30,0,-86.38281082959867,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.9150008500000042}",25,0,-105.34637105752917,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.9140008600000042}",25,0,-138.24997075301383,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.9130008700000043}",25,0,-171.62290448865403,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
88,False,"{'a': 0.01, 'e': 0.9120008800000043}",20,0,-74.35465459253643,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.9110008900000044}",30,0,-93.03113878416009,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.9100009000000044}",25,0,-225.27827447766109,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
91,False,"{'a': 0.01, 'e': 0.9090009100000045}",20,0,-85.76558925620407,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.9080009200000045}",25,0,-143.4579794536502,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.9070009300000046}",20,1,-70.7955237471233,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.9060009400000046}",25,0,-179.6987751506456,"{0: 12, 1: 5, 2: 3, 3: 3, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.9050009500000047}",20,0,-92.98049128006635,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.9040009600000047}",35,0,-126.52026582091197,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.9030009700000048}",25,0,-197.16604529197318,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
98,False,"{'a': 0.01, 'e': 0.9020009800000048}",20,0,-103.83956199654084,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.9010009900000049}",20,0,-149.3247641346377,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
100,False,"{'a': 0.01, 'e': 0.9000010000000049}",25,0,-82.77488417645698,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.899001010000005}",25,0,-91.13954106447419,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.898001020000005}",30,0,-153.1713735700328,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
103,False,"{'a': 0.01, 'e': 0.8970010300000051}",35,0,-61.823388953976576,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.8960010400000051}",25,13,-15.834999675875501,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.8950010500000052}",20,0,-42.11275316225447,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.8940010600000052}",25,16,-8.615774002360583,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.8930010700000053}",20,0,-123.51166348649653,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.8920010800000053}",25,0,-128.77508765214512,"{0: 11, 1: 6, 2: 5, 3: 3, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.8910010900000054}",20,0,-80.93934447409006,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.8900011000000054}",20,0,-44.12456679925715,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.8890011100000055}",25,0,-87.37851969473192,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.8880011200000055}",35,0,-139.3706136812967,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.8870011300000056}",25,0,-92.61586634192038,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.8860011400000056}",25,0,-186.04982503621727,"{0: 16, 1: 0, 2: 2, 3: 5, 4: 2}",0
115,False,"{'a': 0.01, 'e': 0.8850011500000057}",20,0,-147.90955634533015,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
116,False,"{'a': 0.01, 'e': 0.8840011600000057}",30,0,-125.27577129761178,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
117,False,"{'a': 0.01, 'e': 0.8830011700000058}",25,3,-172.1431821542515,"{0: 10, 1: 1, 2: 6, 3: 4, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.8820011800000058}",25,0,-136.97471291396846,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.8810011900000059}",25,0,-163.9866750577691,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
120,False,"{'a': 0.01, 'e': 0.8800012000000059}",20,0,-187.23729029943024,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
121,False,"{'a': 0.01, 'e': 0.879001210000006}",25,3,-161.21842231929864,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 3}",1
122,False,"{'a': 0.01, 'e': 0.878001220000006}",20,0,-97.05423045026654,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
123,False,"{'a': 0.01, 'e': 0.8770012300000061}",20,0,-126.8904861355405,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.8760012400000061}",30,10,-108.49958136546208,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.8750012500000062}",25,0,-115.72696818460221,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
126,False,"{'a': 0.01, 'e': 0.8740012600000062}",25,0,-136.9326431887922,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.8730012700000063}",25,0,-105.5503702646294,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
128,False,"{'a': 0.01, 'e': 0.8720012800000063}",25,0,-104.72864126930277,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
129,False,"{'a': 0.01, 'e': 0.8710012900000064}",20,0,-59.32497239294512,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
130,False,"{'a': 0.01, 'e': 0.8700013000000064}",25,0,-50.122250060983276,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.8690013100000065}",20,0,-91.71400876866333,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
132,False,"{'a': 0.01, 'e': 0.8680013200000065}",25,0,-162.75594234034412,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
133,False,"{'a': 0.01, 'e': 0.8670013300000066}",20,0,-124.31774097817578,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
134,False,"{'a': 0.01, 'e': 0.8660013400000066}",30,0,-93.97521738355448,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.8650013500000067}",20,0,-30.105703961331557,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.8640013600000067}",30,9,-132.47904160443315,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 2}",1
137,False,"{'a': 0.01, 'e': 0.8630013700000068}",20,0,-185.626653738474,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
138,False,"{'a': 0.01, 'e': 0.8620013800000068}",25,18,-12.354694908382283,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.8610013900000069}",25,0,-110.24730514302338,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
140,False,"{'a': 0.01, 'e': 0.8600014000000069}",25,0,-185.04456267006995,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
141,False,"{'a': 0.01, 'e': 0.859001410000007}",20,5,-36.115713276604716,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.858001420000007}",20,0,-69.05050966445717,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.8570014300000071}",25,8,-113.98317378113676,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
144,False,"{'a': 0.01, 'e': 0.8560014400000071}",20,0,-90.23014097270043,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
145,False,"{'a': 0.01, 'e': 0.8550014500000072}",20,12,-21.496674373132038,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.8540014600000072}",20,0,-79.05023769808587,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
147,False,"{'a': 0.01, 'e': 0.8530014700000073}",25,0,-82.52198355062939,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",1
148,False,"{'a': 0.01, 'e': 0.8520014800000073}",20,0,-41.868435430931896,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
149,False,"{'a': 0.01, 'e': 0.8510014900000074}",25,0,-133.183500012212,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
150,False,"{'a': 0.01, 'e': 0.8500015000000074}",25,0,-31.099297107575428,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
151,False,"{'a': 0.01, 'e': 0.8490015100000075}",20,0,-94.22175645200198,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
